time,Tinlet,Flowrate,Heat_flux,Tmax,Tmax_prev
15271,24.687808,216.061356,49.82515458,62.877796,62.858559
15272,24.694202,215.586079,50.16629189,62.874369,62.877796
15273,24.691644,215.467376,49.9583666,62.871435,62.874369
15274,24.685777,231.650999,49.9583666,62.483428,62.871435
15275,24.688513,262.172997,49.61864321,61.930363,62.483428
15276,24.692771,276.292354,49.61864321,61.513488,61.930363
15277,24.690504,280.351061,49.61864321,61.240067,61.513488
15278,24.685514,280.088867,49.9583666,61.052593,61.240067
15279,24.679983,281.095514,49.9583666,60.900704,61.052593
15280,24.688394,279.679691,33.71726748,60.780989,60.900704
15281,24.683206,280.253305,21.7532142,60.659037,60.780989
15282,24.678691,280.400636,21.90874517,60.54626,60.659037
15283,24.677695,280.338026,21.91735217,60.411768,60.54626
15284,24.678849,281.118672,21.78742468,60.28093,60.411768
15285,24.681196,281.36597,21.92595917,60.131944,60.28093
15286,24.688895,280.151942,21.93456617,59.989503,60.131944
15287,24.68229,280.550179,21.93456617,59.836952,59.989503
15288,24.676588,280.579971,21.93456617,59.667087,59.836952
15289,24.674742,280.354319,21.93456617,59.508819,59.667087
15290,24.679904,281.48991,22.07315505,59.328622,59.508819
15291,24.672138,280.111327,21.93456617,59.156487,59.328622
15292,24.690457,280.945157,22.07315505,58.986148,59.156487
15293,24.683193,281.027318,21.93456617,58.800776,58.986148
15294,24.691657,280.969014,21.93456617,58.618796,58.800776
15295,24.690391,280.555648,21.93456617,58.408911,58.618796
15296,24.68521,280.928515,21.93456617,58.219453,58.408911
15297,24.686766,279.718793,21.93456617,58.022385,58.219453
15298,24.685916,281.456743,21.85662049,57.823406,58.022385
15299,24.691875,280.854151,22.07315505,57.625646,57.823406
15300,24.690068,280.144611,21.93456617,57.419631,57.625646
15301,24.704188,280.930144,21.93456617,57.213826,57.419631
15302,24.70289,280.58963,21.8479591,57.009162,57.213826
15303,24.696601,280.603013,21.8479591,56.814227,57.009162
15304,24.694656,281.139038,22.07315505,56.608668,56.814227
15305,24.708275,280.21944,21.71078414,56.393972,56.608668
15306,24.696331,280.95726,21.7959773,56.189192,56.393972
15307,24.70171,280.280188,21.71078414,55.988231,56.189192
15308,24.696238,281.237375,22.07315505,55.779821,55.988231
15309,24.698585,281.933649,22.07315505,55.576311,55.779821
15310,24.701156,280.952372,21.8479591,55.375247,55.576311
15311,24.693279,281.137874,21.93456617,55.175671,55.375247
15312,24.690701,281.414266,22.03850952,54.972017,55.175671
15313,24.694973,281.116461,21.80546116,54.785822,54.972017
15314,24.686291,281.658887,21.93456617,54.579995,54.785822
